,Mean,Std Dev,Min,Max,Skewness,Kurtosis,Obs,JB Stat,JB p-val
GDP_growth,2.2716917660103597,2.431220890422049,-8.853365095794153,7.219604137991746,-1.3639966923921143,4.570809362852768,103,110.15119473294443,1.2049581853484502e-24
PCE_growth,2.564752047608746,2.3398501277623454,-6.835341417818144,13.19340891690057,0.20870181105555335,6.1843388771566,103,146.6194901467054,1.4520522526908064e-32
Investment_growth,2.775842018113381,11.865780303533791,-48.25401034122619,35.6814437810518,-0.9696856111252253,4.365366743212194,103,87.76754292400837,8.740176621533741e-20
SP500_return,1.218666018367866,8.266684947947665,-25.56436845266899,14.168860349272752,-1.038772425359782,0.9884212623760646,103,21.335059132953173,2.3288996399428523e-05
Energy_return,1.9448819405304358,13.484229555239038,-70.35184361340932,32.964318300311916,-1.7457159111584892,7.5964295323856135,103,271.7320487271727,9.865868913744446e-60
Technology_return,1.7058776853718165,12.415674280659193,-39.274346577749874,26.70349795563804,-1.088424972046677,1.592434976502327,103,28.875540341546813,5.36730263750885e-07
Unemployment,5.514563106796117,1.7854755925429855,3.5,9.9,1.0698356717131718,0.13371675296142227,103,19.098478298404412,7.12554572189287e-05
VIX,19.933106783524302,8.002807704371198,9.510000228881836,53.540000915527344,1.6712451383151938,3.441890951968279,103,91.03593165888502,1.7052914429994575e-20
