Model,N_Forecasts,RMSE,MAE,MSPE_vs_Mean_%,R2_OOS,Improvement_%
CLARX_Combined,116,0.1245591824846085,0.07032738140461138,4.3674949661028455,0.9563250503389715,95.63250503389716
CLARX_SP500,116,0.5615573323695885,0.4324515392453987,88.77059264888845,0.11229407351111542,11.229407351111547
Baseline_OLS,116,0.5627915112523969,0.4349717195358828,89.16121771080638,0.10838782289193616,10.838782289193617
CLARX_Sectors,116,1.284699683738832,0.6798415541455263,464.60528870012575,-3.6460528870012574,-364.60528870012575
